auction_ID,lot,num_uniq_bidders,uniq_bidders
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1011,2,"[frozenset({'caitlyn'}), frozenset({'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1012,3,"[frozenset({'yuki rashika'}), frozenset({'yours justine'}), frozenset({'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1013,1,"[frozenset({'online bidder', 'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1014,0,[]
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1015,3,"[frozenset({'online bidder', 'online'}), frozenset({'justina', 'justine'}), frozenset({'rishiki', 'rashiki'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1016,3,"[frozenset({'online bidder', 'online'}), frozenset({'justina'}), frozenset({'rishiki', 'rashiki'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1017,0,[]
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1018,0,[]
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1019,5,"[frozenset({'patty'}), frozenset({'rashik', 'rashikas'}), frozenset({'phillips'}), frozenset({'felix'}), frozenset({'nicholas'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1020,4,"[frozenset({'yuki'}), frozenset({'tiffany'}), frozenset({'sir'}), frozenset({'joyce'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1021,3,"[frozenset({'justina'}), frozenset({'max'}), frozenset({'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1022,3,"[frozenset({""patty patty wong's"", 'patty', ""patty wong's""}), frozenset({'alex branchek', 'alex branchack'}), frozenset({'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1023,0,[]
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1024,2,"[frozenset({'ingrid'}), frozenset({'justina'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1025,1,[frozenset({'simon'})]
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1026,2,"[frozenset({'felix one'}), frozenset({'gaby justina'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1027,5,"[frozenset({'sir', 'shirley'}), frozenset({'online bidder', 'online'}), frozenset({'felix'}), frozenset({'brooks'}), frozenset({'brooke lampley', 'lampley'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1028,5,"[frozenset({'justina', 'justine', 'christina'}), frozenset({'ali'}), frozenset({'alex yeah', 'alex bidder', 'alex'}), frozenset({'simon'}), frozenset({'online'})]"
s1_16_modern-art-evening-sale_contemporary-art-evening-sale,1029,0,[]
