auction_ID,lot,num_uniq_bidders,uniq_bidders
s1_14_karl-karl-lagerfelds-estate?locale=en,43,3,"[frozenset({'Jimmy'}), frozenset({'Demi Lovato'}), frozenset({'Scott Brooks'})]"
s1_28_master-paintings-sculpture-part-i_,45,6,"[frozenset({'Ben'}), frozenset({'Satie'}), frozenset({'Mutant'}), frozenset({'John'}), frozenset({'Bonnie', 'Hi Bonnie'}), frozenset({'sir'})]"
s1_23_important-watches-3,306,5,"[frozenset({'Lisa'}), frozenset({'online'}), frozenset({'Cartier'}), frozenset({'B.'}), frozenset({'Joanna'})]"
s1_23_important-watches-3,310,1,[frozenset({'online'})]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,118,1,[frozenset({'Jean dubuffet'})]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,2,7,"[frozenset({'Thomas'}), frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Pitt'}), frozenset({'Tom Petty'}), frozenset({'Sarah 600', 'Sarah'}), frozenset({'Brad'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1028,0,[]
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1022,2,"[frozenset({'Jiobit'}), frozenset({'Simon'})]"
s1_12_important-design-paris?locale=en,46,1,[frozenset({'Episode'})]
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,14,8,"[frozenset({'Shay'}), frozenset({'online', 'Hdonline'}), frozenset({'Seneca'}), frozenset({'Alex'}), frozenset({'Norman'}), frozenset({'telephone', 'phone'}), frozenset({'Patty'}), frozenset({'sir'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,121,2,"[frozenset({'Alex'}), frozenset({'Lisa', 'Lisa 5 minutes'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,9,3,"[frozenset({'Batavia'}), frozenset({'phone'}), frozenset({'David'})]"
s1_23_important-watches-3,252,2,"[frozenset({'online', 'online bidder'}), frozenset({'sir'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,129,1,[frozenset({'David'})]
s1_23_important-watches-3,241,3,"[frozenset({'Lee'}), frozenset({'Route'}), frozenset({'online', 'on line'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,101,1,[frozenset({'Lady'})]
s1_08_magnificent-jewels-6?locale=en,31,5,"[frozenset({'Andres'}), frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Ridge'}), frozenset({'Spitter 600'})]"
s1_30_past-forward?locale=en_modernites,31,4,"[frozenset({'Euros'}), frozenset({'Charlotte Simmons'}), frozenset({'Lubbock'}), frozenset({'La Verne'})]"
s1_12_important-design-paris?locale=en,133,3,"[frozenset({'Victor'}), frozenset({'online'}), frozenset({'telephone', 'phone'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1033,3,"[frozenset({'Thomas'}), frozenset({'Martinez'}), frozenset({'Ramos'})]"
s1_23_important-watches-3,254,3,"[frozenset({'Omega Constellation'}), frozenset({'online'}), frozenset({'Lucky'})]"
s1_08_magnificent-jewels-6?locale=en,42,3,"[frozenset({'Jay Caldwell'}), frozenset({'online'}), frozenset({'Bidder'})]"
s1_08_magnificent-jewels-6?locale=en,80,2,"[frozenset({'phone'}), frozenset({'Frank', 'Frank Bennett 50,000', 'Frank Miniatures', 'Frank Bennett'})]"
s1_08_magnificent-jewels-6?locale=en,123,1,[frozenset({'Tiffany Diamond'})]
s1_23_important-watches-3,280,5,"[frozenset({'Lynn'}), frozenset({'online'}), frozenset({'Daytona', 'Paul Newman Daytona', 'The Paul Newman'}), frozenset({'Suite'}), frozenset({'phone'})]"
s1_23_important-watches-3,229,2,"[frozenset({'Anthony'}), frozenset({'Dussel'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,2106,6,"[frozenset({'Dennis Dillon'}), frozenset({'Alex again', 'Ashley', 'Alex Freeman', 'Alex', 'Alex Branch', 'Alex Alex', 'Foreman'}), frozenset({'Heather'}), frozenset({'Denzel'}), frozenset({'online'}), frozenset({'Sankey'})]"
s1_18_art-contemporain-evening-sale-2?locale=en_,34,0,[]
s1_08_magnificent-jewels-6?locale=en,131,5,"[frozenset({'Tia Carmen'}), frozenset({'Felony'}), frozenset({'b e. John at Twin', 'Joanna', 'John'}), frozenset({'Frank'}), frozenset({'phone'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1003,2,"[frozenset({'online'}), frozenset({'Julianne'})]"
s1_30_past-forward?locale=en_modernites,131,0,[]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1030,2,"[frozenset({'Debbie'}), frozenset({'Felix'})]"
s1_08_magnificent-jewels-6?locale=en,173,1,[frozenset({'Ali'})]
s1_08_magnificent-jewels-6?locale=en,174,1,[frozenset({'online'})]
s1_23_important-watches-3,356,2,"[frozenset({'telephone', 'phone'}), frozenset({'Herbert'})]"
s1_12_important-design-paris?locale=en,66,2,"[frozenset({'online'}), frozenset({'Angelina'})]"
s1_23_important-watches-3,375,0,[]
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,23,1,"[frozenset({'Carly', 'Craig', 'Greg  400000', 'Greg'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,2112,2,"[frozenset({'Max', 'max'}), frozenset({'Nicholas', 'Nicholas Nicholas'})]"
s1_08_magnificent-jewels-6?locale=en,1,2,"[frozenset({'online'}), frozenset({'phone'})]"
s1_30_past-forward?locale=en_modernites,123,1,[frozenset({'John'})]
s1_23_important-watches-3,210,2,"[frozenset({'Kristina', 'Christina'}), frozenset({'phone'})]"
s1_23_important-watches-3,257,4,"[frozenset({'2008'}), frozenset({'La Chupa'}), frozenset({'online'}), frozenset({'Powell'})]"
s1_08_magnificent-jewels-6?locale=en,75,1,[frozenset({'Diamond'})]
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,14,1,[frozenset({'Saint Francis'})]
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,114,4,"[frozenset({'Roy Lichtenstein'}), frozenset({'Patty Wong'}), frozenset({'Felix'}), frozenset({'Nicholas'})]"
s1_23_important-watches-3,203,3,"[frozenset({'Sarah'}), frozenset({'Johnson'}), frozenset({'online'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,1,8,"[frozenset({'Tupac'}), frozenset({'Pandora'}), frozenset({'Hugo'}), frozenset({'Nicole', 'Nicole Say'}), frozenset({'Alexander', 'Alex'}), frozenset({'lady'}), frozenset({'John'}), frozenset({'Underpants'})]"
s1_23_important-watches-3,394,5,"[frozenset({'Idris Elba'}), frozenset({'Johnson'}), frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Patek Philippe'})]"
s1_23_important-watches-3,238,4,"[frozenset({'Lee'}), frozenset({'Ryan'}), frozenset({'online'}), frozenset({'phone'})]"
s1_23_important-watches-3,273,5,"[frozenset({'Kelly'}), frozenset({'online'}), frozenset({'Headroom'}), frozenset({'Jonathan'}), frozenset({'Ryan'})]"
s1_22_surrealism-and-its-legacy?locale=en_,21,2,"[frozenset({'Julien'}), frozenset({'Simon'})]"
s1_23_important-watches-3,307,3,"[frozenset({'Simon Cowell'}), frozenset({'Patek Philippe'}), frozenset({'phone'})]"
s1_23_important-watches-3,284,2,"[frozenset({'Ben'}), frozenset({'online'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,13,0,[]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,2125,1,[frozenset({'Carrie'})]
s1_08_magnificent-jewels-6?locale=en,161,5,"[frozenset({'online'}), frozenset({'Joanna'}), frozenset({'gentleman'}), frozenset({'phone'}), frozenset({'Al Zahra Zahra', 'Al Zahra Zahra 65'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,11,5,"[frozenset({'Atwater Village Oaks'}), frozenset({'Jen'}), frozenset({'A1 Mower'}), frozenset({'Pat Patty', 'Patrick'}), frozenset({'Rohit'})]"
s1_08_magnificent-jewels-6?locale=en,41,4,"[frozenset({'Robin', 'Miss Robin'}), frozenset({'Alexander Redland 85,000', 'Alexander Redland', 'Alex'}), frozenset({'phone'}), frozenset({'Alice B'})]"
s1_18_art-contemporain-evening-sale-2?locale=en_,30,1,[frozenset({'Euros'})]
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,2,6,"[frozenset({'Batavia'}), frozenset({'Crazy'}), frozenset({'David'}), frozenset({'Brooke'}), frozenset({'John', 'Jones'}), frozenset({'Mike'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,105,1,[frozenset({'online'})]
s1_28_master-paintings-sculpture-part-i_,24,0,[]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,137,2,"[frozenset({'Alex'}), frozenset({'Elizabeth'})]"
s1_08_magnificent-jewels-6?locale=en,81,2,"[frozenset({'Switch'}), frozenset({'online', 'online bidder'})]"
s1_18_art-contemporain-evening-sale-2?locale=en_,4,3,"[frozenset({'Siri'}), frozenset({'Celebrity Jay Adams', 'Jay Adams'}), frozenset({'Demeanor'})]"
s1_08_magnificent-jewels-6?locale=en,3,3,"[frozenset({'online'}), frozenset({'phone'}), frozenset({'lady'})]"
s1_12_important-design-paris?locale=en,99,0,[]
s1_14_karl-karl-lagerfelds-estate?locale=en,8,1,"[frozenset({'Sebastian Mario', 'Kokoro Sebastian.  ', 'Kokoro Sebastian', 'telephone', 'Sebastian', 'phone', 'Fatima', 'Jacoby'})]"
s1_12_important-design-paris?locale=en,90,2,"[frozenset({'F-150'}), frozenset({'Angela'})]"
s1_23_important-watches-3,339,1,"[frozenset({'James Bond', 'James Bond Hand'})]"
s1_23_important-watches-3,223,4,"[frozenset({'Lee'}), frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Bid'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1052,7,"[frozenset({'Joshua'}), frozenset({'Peyton'}), frozenset({'Debbie'}), frozenset({'online'}), frozenset({'Bill'}), frozenset({'Christina'}), frozenset({'phone'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,33,3,"[frozenset({'Isabel'}), frozenset({'Hitchens'}), frozenset({'Felix'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,129,2,"[frozenset({'Alex friendship', 'Alex'}), frozenset({'Fateh Ali'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,2120,6,"[frozenset({'Florence Mall'}), frozenset({'Hayden'}), frozenset({'Joe B'}), frozenset({'Johnny'}), frozenset({'Lawrence'}), frozenset({'gentleman'})]"
s1_12_important-design-paris?locale=en,161,1,[frozenset({'Nephew'})]
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1020,2,"[frozenset({'Sam'}), frozenset({'Sarah'})]"
