,auctionID_lot,1,2,n,loc,cat0,cat1,low_rel_high,final_price,high_estimate,num_bids
0,c16897_1,5.5125,5.04,6,hong kong,art,impressionist/20th/21st century art,0.625,3500000.0,800000.0,25
1,c16897_10,16.375,15.375,8,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,16000000.0,1200000.0,43
2,c16897_11,0.693,0.63,2,hong kong,art,impressionist/20th/21st century art,0.5,2200000.0,4000000.0,7
3,c16897_12,1.368,1.296,7,hong kong,art,impressionist/20th/21st century art,0.7142857142857143,3800000.0,3500000.0,15
4,c16897_13,1.7955882352941177,1.7426470588235294,6,hong kong,art,impressionist/20th/21st century art,0.7058823529411765,9800000.0,6800000.0,20
5,c16897_14,2.016,1.89,9,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,4800000.0,3000000.0,14
6,c16897_15,2.6208,2.52,10,hong kong,art,impressionist/20th/21st century art,0.72,5200000.0,2500000.0,21
7,c16897_16,4.06,3.92,8,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,5800000.0,1800000.0,32
8,c16897_17,1.512,1.4112,4,hong kong,art,impressionist/20th/21st century art,0.6,3000000.0,2500000.0,12
9,c16897_18,4.295454545454546,4.009090909090909,10,hong kong,art,impressionist/20th/21st century art,0.5454545454545454,7500000.0,2200000.0,28
10,c16897_19,1.89,1.8,2,hong kong,art,impressionist/20th/21st century art,0.6428571428571429,4200000.0,2800000.0,7
11,c16897_2,5.46,5.04,6,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,1300000.0,300000.0,19
12,c16897_20,1.89,1.827,6,hong kong,art,impressionist/20th/21st century art,0.5,3000000.0,2000000.0,16
13,c16897_21,2.352,2.184,8,hong kong,art,impressionist/20th/21st century art,0.6,2800000.0,1500000.0,18
14,c16897_23,0.8089285714285714,0.8089285714285714,6,hong kong,art,impressionist/20th/21st century art,0.5714285714285714,18500000.0,28000000.0,9
15,c16897_24,0.956,0.9416875,4,hong kong,art,impressionist/20th/21st century art,0.625,64000000.0,80000000.0,8
16,c16897_25,1.1188888888888888,1.0833333333333333,7,hong kong,art,impressionist/20th/21st century art,0.6296296296296297,24800000.0,27000000.0,11
17,c16897_27,0.8360294117647059,0.8272058823529411,19,hong kong,art,impressionist/20th/21st century art,0.5588235294117647,47000000.0,68000000.0,21
18,c16897_28,0.735,0.6825,3,hong kong,art,impressionist/20th/21st century art,0.5833333333333334,7000000.0,12000000.0,4
19,c16897_29,0.695,0.655,2,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,17000000.0,30000000.0,3
20,c16897_3,1.596,1.512,5,hong kong,art,impressionist/20th/21st century art,0.4666666666666667,1900000.0,1500000.0,17
21,c16897_31,2.772,2.52,4,hong kong,art,impressionist/20th/21st century art,0.6,5500000.0,2500000.0,23
22,c16897_34,0.975,0.895,2,hong kong,art,impressionist/20th/21st century art,0.8666666666666667,24000000.0,30000000.0,4
23,c16897_39,1.62,1.512,6,hong kong,art,impressionist/20th/21st century art,0.7142857142857143,4500000.0,3500000.0,13
24,c16897_41,5.964,5.88,9,hong kong,art,impressionist/20th/21st century art,0.5333333333333333,7100000.0,1500000.0,39
25,c16897_42,3.675,3.36,5,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,3500000.0,1200000.0,19
26,c16897_43,2.0375,1.9375,6,hong kong,art,impressionist/20th/21st century art,0.65,20000000.0,12000000.0,18
27,c16897_44,2.73,2.52,6,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,2600000.0,1200000.0,20
28,c16897_45,2.079,2.016,10,hong kong,art,impressionist/20th/21st century art,0.5,3300000.0,2000000.0,24
29,c16897_46,1.575,1.512,2,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,7500000.0,6000000.0,16
30,c16897_47,0.8375,0.7875,2,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,8000000.0,12000000.0,3
31,c16897_49,1.368,1.26,7,hong kong,art,impressionist/20th/21st century art,0.7142857142857143,3800000.0,3500000.0,11
32,c16897_5,2.16,2.025,4,hong kong,art,impressionist/20th/21st century art,0.6428571428571429,4800000.0,2800000.0,15
33,c16897_50,1.0916666666666666,1.025,3,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,16000000.0,18000000.0,9
34,c16897_51,1.545,1.485,5,hong kong,art,impressionist/20th/21st century art,0.7,12500000.0,10000000.0,8
35,c16897_52,0.585,0.5716666666666667,4,hong kong,art,impressionist/20th/21st century art,0.5,8400000.0,18000000.0,4
36,c16897_53,0.8376923076923077,0.7823076923076923,2,hong kong,art,impressionist/20th/21st century art,0.6923076923076923,45000000.0,65000000.0,2
37,c16897_54,0.9226470588235294,0.9226470588235294,2,hong kong,art,impressionist/20th/21st century art,0.7647058823529411,52000000.0,68000000.0,3
38,c16897_55,1.303125,1.228125,3,hong kong,art,impressionist/20th/21st century art,0.6875,17000000.0,16000000.0,11
39,c16897_57,3.675,3.57,7,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,3500000.0,1200000.0,27
40,c16897_58,1.111764705882353,1.0376470588235294,4,hong kong,art,impressionist/20th/21st century art,0.6470588235294118,7500000.0,8500000.0,6
41,c16897_59,0.8475,0.8075,4,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,42000000.0,60000000.0,5
42,c16897_6,1.11,1.07,6,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,13500000.0,15000000.0,7
43,c16897_63,1.6058823529411765,1.464705882352941,5,hong kong,art,impressionist/20th/21st century art,0.6470588235294118,11000000.0,8500000.0,13
44,c16897_64,1.39,1.31,4,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,17000000.0,15000000.0,10
45,c16897_66,1.003125,0.928125,5,hong kong,art,impressionist/20th/21st century art,0.6875,13000000.0,16000000.0,6
46,c16897_68,1.6875,1.644642857142857,8,hong kong,art,impressionist/20th/21st century art,0.75,39000000.0,28000000.0,20
47,c16897_69,2.079,2.079,11,hong kong,art,impressionist/20th/21st century art,0.5,3300000.0,2000000.0,14
48,c16897_7,1.6384615384615384,1.5461538461538462,5,hong kong,art,impressionist/20th/21st century art,0.6923076923076923,8500000.0,6500000.0,11
49,c16897_70,2.184,2.1,6,hong kong,art,impressionist/20th/21st century art,0.5333333333333333,2600000.0,1500000.0,19
50,c16897_71,1.675,1.675,8,hong kong,art,impressionist/20th/21st century art,0.8,8000000.0,6000000.0,17
51,c16897_72,1.4892857142857143,1.4035714285714285,9,hong kong,art,impressionist/20th/21st century art,0.6428571428571429,17000000.0,14000000.0,12
52,c16897_73,2.226,2.184,5,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,5300000.0,3000000.0,21
53,c16897_74,1.489090909090909,1.4318181818181819,3,hong kong,art,impressionist/20th/21st century art,0.5454545454545454,2600000.0,2200000.0,15
54,c16897_8,2.772,2.52,3,hong kong,art,impressionist/20th/21st century art,0.6,1100000.0,500000.0,17
55,c16897_9,3.5,3.36,3,hong kong,art,impressionist/20th/21st century art,0.6666666666666666,500000.0,180000.0,21
56,c18910_101,2.149090909090909,2.149090909090909,2,paris,art,impressionist/20th/21st century art,0.6363636363636364,950000.0,550000.0,11
57,c18910_108,0.7142777777777778,0.7142777777777778,2,paris,art,impressionist/20th/21st century art,0.6111111111111112,11000000.0,18000000.0,7
58,c18910_109,0.735,0.672,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,350000.0,600000.0,3
59,c18910_11,0.98,0.98,3,paris,art,impressionist/20th/21st century art,0.7777777777777778,700000.0,900000.0,3
60,c18910_111,0.835,0.835,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,800000.0,1200000.0,3
61,c18910_113,1.485,1.485,5,paris,art,impressionist/20th/21st century art,0.75,1450000.0,1200000.0,14
62,c18910_114,1.68,1.68,5,paris,art,impressionist/20th/21st century art,0.6666666666666666,240000.0,180000.0,15
63,c18910_117,2.184,2.184,7,paris,art,impressionist/20th/21st century art,0.6666666666666666,260000.0,150000.0,17
64,c18910_118,2.2574,0.852,7,paris,art,impressionist/20th/21st century art,0.68,4700000.0,2500000.0,9
65,c18910_119,0.9288,0.9288,5,paris,art,impressionist/20th/21st century art,0.64,1900000.0,2500000.0,8
66,c18910_12,0.785,0.785,2,paris,art,impressionist/20th/21st century art,0.7083333333333334,750000.0,1200000.0,3
67,c18910_121,0.8506153846153847,0.833,2,paris,art,impressionist/20th/21st century art,0.6923076923076923,4600000.0,6500000.0,4
68,c18910_123,1.368,1.296,2,paris,art,impressionist/20th/21st century art,0.7142857142857143,380000.0,350000.0,9
69,c18910_125,0.945,0.945,6,paris,art,impressionist/20th/21st century art,0.75,600000.0,800000.0,4
70,c18910_126,1.155,1.05,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,550000.0,600000.0,4
71,c18910_13,0.7615384615384615,0.7615384615384615,7,paris,art,impressionist/20th/21st century art,0.6923076923076923,790000.0,1300000.0,4
72,c18910_130,9.072,9.072,9,paris,art,impressionist/20th/21st century art,0.7,360000.0,50000.0,37
