index,Unnamed: 0,auction_ID,lot,lot_name,low_estimate,high_estimate,estimate_currency,final_price,bid,bid_currency,time,global_ID,bid_rel
3,3,s1_00_modern-evening-auction?locale=en_,1,Jean Arp Nu floral,400000.0,600000.0,USD,552400.0,440000.0,USD,130620.0,s1_00_modern-evening-auction?locale=en_1Jean Arp Nu floral,0.88
2,2,s1_00_modern-evening-auction?locale=en_,1,Jean Arp Nu floral,400000.0,600000.0,USD,552400.0,420000.0,USD,130200.0,s1_00_modern-evening-auction?locale=en_1Jean Arp Nu floral,0.84
6,6,s1_00_modern-evening-auction?locale=en_,2,Enrico Donati Spaziale fiorito,600000.0,800000.0,USD,867000.0,700000.0,USD,132720.0,s1_00_modern-evening-auction?locale=en_2Enrico Donati Spaziale fiorito,1.0
5,5,s1_00_modern-evening-auction?locale=en_,2,Enrico Donati Spaziale fiorito,600000.0,800000.0,USD,867000.0,680000.0,USD,132570.0,s1_00_modern-evening-auction?locale=en_2Enrico Donati Spaziale fiorito,0.9714285714285714
14,14,s1_00_modern-evening-auction?locale=en_,3,Norman Lewis Snow in the City,800000.0,1200000.0,USD,1411500.0,1150000.0,USD,137295.0,s1_00_modern-evening-auction?locale=en_3Norman Lewis Snow in the City,1.15
13,13,s1_00_modern-evening-auction?locale=en_,3,Norman Lewis Snow in the City,800000.0,1200000.0,USD,1411500.0,1100000.0,USD,136605.0,s1_00_modern-evening-auction?locale=en_3Norman Lewis Snow in the City,1.1
41,41,s1_00_modern-evening-auction?locale=en_,4,Georgia O'Keeffe Pink Spotted Lily,3000000.0,5000000.0,USD,6813300.0,5700000.0,USD,145845.0,s1_00_modern-evening-auction?locale=en_4Georgia O'Keeffe Pink Spotted Lily,1.425
40,40,s1_00_modern-evening-auction?locale=en_,4,Georgia O'Keeffe Pink Spotted Lily,3000000.0,5000000.0,USD,6813300.0,5650000.0,USD,145350.0,s1_00_modern-evening-auction?locale=en_4Georgia O'Keeffe Pink Spotted Lily,1.4125
42,42,s1_00_modern-evening-auction?locale=en_,5,René Magritte Le Droit chemin,7000000.0,9000000.0,USD,7502700.0,6300000.0,USD,147840.0,s1_00_modern-evening-auction?locale=en_5René Magritte Le Droit chemin,0.7875
71,71,s1_00_modern-evening-auction?locale=en_,6,Pablo Picasso La Chouette,1000000.0,1500000.0,USD,3892000.0,3200000.0,,159690.0,s1_00_modern-evening-auction?locale=en_6Pablo Picasso La Chouette,2.56
70,70,s1_00_modern-evening-auction?locale=en_,6,Pablo Picasso La Chouette,1000000.0,1500000.0,USD,3892000.0,3150000.0,USD,159240.0,s1_00_modern-evening-auction?locale=en_6Pablo Picasso La Chouette,2.52
84,84,s1_00_modern-evening-auction?locale=en_,7,Alexander Calder Mr. J,500000.0,700000.0,USD,1078750.0,875000.0,USD,165855.0,s1_00_modern-evening-auction?locale=en_7Alexander Calder Mr. J,1.4583333333333333
83,83,s1_00_modern-evening-auction?locale=en_,7,Alexander Calder Mr. J,500000.0,700000.0,USD,1078750.0,850000.0,USD,165375.0,s1_00_modern-evening-auction?locale=en_7Alexander Calder Mr. J,1.4166666666666667
151,151,s1_00_modern-evening-auction?locale=en_,9,Alexander Calder Untitled,10000000.0,15000000.0,USD,19682100.0,16900000.0,USD,187125.0,s1_00_modern-evening-auction?locale=en_9Alexander Calder Untitled,1.352
150,150,s1_00_modern-evening-auction?locale=en_,9,Alexander Calder Untitled,10000000.0,15000000.0,USD,19682100.0,16800000.0,USD,186870.0,s1_00_modern-evening-auction?locale=en_9Alexander Calder Untitled,1.344
