,global_ID,num_uniq_bidders,Unnamed: 0,auction_ID,lot,lot_name,total_bids,overall_freq,num_jump,num_jump1,num_jump2,num_jump12,freq_jump,freq_jump1,freq_jump2,freq_jump12,init_rel,final_rel,last_time,seg0_bids,seg0_jump_bids,seg0_jump1,seg0_jump2,seg0_jump12,seg0_final_price,seg0_final_rel_price,seg0_freq_bid,seg0_bid_gradient,seg1_bids,seg1_jump_bids,seg1_jump1,seg1_jump2,seg1_jump12,seg1_final_price,seg1_final_rel_price,seg1_freq_bid,seg1_bid_gradient,N_bidders
174,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-21,2,254,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,1,"A pale celadon jade gourd-form box and cover, Qing dynasty, 19th century | 清十九世紀 青白玉雕福祿萬代蓋盒",12,0.1387283236994219,1,1,0,0,0.0115606936416184,0.0115606936416184,0.0,0.0,1.25,2.6666666666666665,30.5,9,1,1,0,0,14000.0,2.333333333333333,0.2080924855491329,0.02504816955684,2,0,0,0,0,16000.0,2.6666666666666665,0.0462427745664739,0.0038535645472061,2
175,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-22,4,255,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,2,"A celadon jade phoenix-form vase, Qing dynasty, 19th century | 清十九世紀 青玉天雞尊",19,0.1352313167259786,6,6,5,5,0.0427046263345195,0.0427046263345195,0.0355871886120996,0.0355871886120996,1.2,6.25,21.0,14,4,4,3,3,17000.0,4.25,0.199288256227758,0.0434163701067615,4,2,2,2,2,25000.0,6.25,0.0569395017793594,0.0249110320284697,4
176,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-23,3,256,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,3,"A white jade dish, Qing dynasty, 18th / 19th century | 清十八 / 十九世紀 白玉盤",10,0.0743494423791821,2,1,2,1,0.0148698884758364,0.0074349442379182,0.0148698884758364,0.0074349442379182,0.28,0.72,17.0,5,2,1,2,1,14000.0,0.56,0.0743494423791821,0.0041635687732342,4,0,0,0,0,18000.0,0.72,0.0594795539033457,0.0017843866171003,3
177,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-24,4,257,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,4,"A celadon jade reticulated 'peony' box and cover, Qing dynasty, 18th century | 清十八世紀 青玉透雕纏枝牡丹紋蓋盒",16,0.0629921259842519,5,4,2,1,0.0196850393700787,0.0157480314960629,0.0078740157480314,0.0039370078740157,0.2833333333333333,0.8333333333333334,48.5,11,4,3,2,1,40000.0,0.6666666666666666,0.0866141732283464,0.003018372703412,4,1,1,0,0,50000.0,0.8333333333333334,0.0314960629921259,0.0010498687664041,4
178,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-25,3,258,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,5,"A hardstone-inlaid pale celadon jade teapot and cover, Qing dynasty, 18th / 19th century | 清十八 / 十九世紀 青白玉嵌寶蓮花圖茶壺",9,0.0769230769230769,3,3,2,2,0.0256410256410256,0.0256410256410256,0.017094017094017,0.017094017094017,0.95,1.875,20.0,6,2,2,1,1,60000.0,1.5,0.1025641025641025,0.0094017094017094,3,1,1,1,1,75000.0,1.875,0.0512820512820512,0.0064102564102564,3
179,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-26,5,259,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,6,"A pale celadon jade lobed censer and cover, Qing dynasty, 18th / early 19th century | 清十八 / 十九世紀初 青白玉雕花卉紋花耳海棠式盤龍鈕蓋爐",13,0.1268292682926829,5,3,2,0,0.048780487804878,0.0292682926829268,0.0195121951219512,0.0,0.88,2.2,23.0,8,3,1,2,0,42000.0,1.68,0.1560975609756097,0.0156097560975609,4,2,2,0,0,55000.0,2.2,0.0780487804878048,0.0078048780487804,5
182,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-29,1,262,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,9,"A cloisonné enamel 'lotus' hu-form vase, Late Ming dynasty | 明末 銅胎掐絲琺瑯纏枝蓮紋鋪首耳壺",2,0.0526315789473684,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.32,33.5,1,0,0,0,0,16000.0,0.32,0.0526315789473684,0.0010526315789473,0,0,0,0,0,16000.0,0.32,0.0,0.0,2
183,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-210,1,263,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,10,"A very large cloisonné enamel gu-form vase, Qing dynasty, 17th century | 清十七世紀 銅胎掐絲琺瑯獸面紋出戟大方觚",11,0.1145833333333333,3,2,2,1,0.03125,0.0208333333333333,0.0208333333333333,0.0104166666666666,0.2166666666666666,0.4666666666666667,23.0,7,0,0,0,0,20000.0,0.3333333333333333,0.1458333333333333,0.0024305555555555,3,3,2,2,1,28000.0,0.4666666666666667,0.0625,0.0020833333333333,2
184,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-211,2,264,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,11,"A spinach-green jade ruyi scepter, Qing dynasty, 19th century | 清十九世紀 碧玉雕靈芝如意",6,0.0839160839160839,3,2,2,1,0.0419580419580419,0.0279720279720279,0.0279720279720279,0.0139860139860139,2.571428571428572,4.0,35.0,4,2,2,1,1,25000.0,3.571428571428572,0.1118881118881118,0.0279720279720279,1,1,0,1,0,28000.0,4.0,0.0279720279720279,0.0,2
185,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-212,3,265,s1_05_imperial-cloisonne-jade-chinese-art-from-the-brooklyn-museum?locale=en_+important-chinese-art-2,12,"A spinach-green jade censer and cover, Qing dynasty, 18th / 19th century | 清十八 / 十九世紀 碧玉雕壽字紋龍耳蓋爐",9,0.0825688073394495,4,4,2,2,0.036697247706422,0.036697247706422,0.018348623853211,0.018348623853211,0.56,1.1,23.0,5,2,2,1,1,42000.0,0.84,0.091743119266055,0.005137614678899,3,2,2,1,1,55000.0,1.1,0.055045871559633,0.0025688073394495,3
