,global_ID,num_uniq_bidders,Unnamed: 0,auction_ID,lot,lot_name,total_bids,overall_freq,num_jump,num_jump1,num_jump2,num_jump12,freq_jump,freq_jump1,freq_jump2,freq_jump12,init_rel,final_rel,last_time,seg0_bids,seg0_jump_bids,seg0_jump1,seg0_jump2,seg0_jump12,seg0_final_price,seg0_final_rel_price,seg0_freq_bid,seg0_bid_gradient,seg1_bids,seg1_jump_bids,seg1_jump1,seg1_jump2,seg1_jump12,seg1_final_price,seg1_final_rel_price,seg1_freq_bid,seg1_bid_gradient,N_bidders
0,s1_00_modern-evening-auction?locale=en_1,3,0,s1_00_modern-evening-auction?locale=en_,1,Jean Arp Nu floral,4,0.0655737704918032,0,0,0,0,0.0,0.0,0.0,0.0,0.76,0.88,8.0,1,0,0,0,0,400000.0,0.8,0.0327868852459016,0.001311475409836,2,0,0,0,0,440000.0,0.88,0.0655737704918032,0.001311475409836,3
24,s1_00_modern-evening-auction?locale=en_31,1,24,s1_00_modern-evening-auction?locale=en_,31,Armando Reverón Figura bajo un uvero,1,0.08,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,12.5,0,0,0,0,0,300000.0,1.0,0.0,0.0,0,0,0,0,0,300000.0,1.0,0.0,0.0,1
30,s1_00_modern-evening-auction?locale=en_40,0,30,s1_00_modern-evening-auction?locale=en_,40,Henry Moore Family Group,1,0.1428571428571428,0,0,0,0,0.0,0.0,0.0,0.0,0.7666666666666667,0.7666666666666667,7.0,0,0,0,0,0,460000.0,0.7666666666666667,0.0,0.0,0,0,0,0,0,460000.0,0.7666666666666667,0.0,0.0,1
39,s1_00_modern-evening-auction?locale=en_50,1,39,s1_00_modern-evening-auction?locale=en_,50,Matta L'Interrompu,5,0.0934579439252336,1,1,0,0,0.0186915887850467,0.0186915887850467,0.0,0.0,0.45,0.575,11.0,3,1,1,0,0,550000.0,0.55,0.1121495327102803,0.0037383177570093,1,0,0,0,0,575000.0,0.575,0.0373831775700934,0.0,2
40,s1_01_contemporary-curated-asia-jay-chou-x-sothebys-evening-sale?locale=en_1,1,40,s1_01_contemporary-curated-asia-jay-chou-x-sothebys-evening-sale?locale=en_,1,Peter McDonald 彼得・麥當勞 | Disco 的士高,18,0.1551724137931034,2,2,0,0,0.0172413793103448,0.0172413793103448,0.0,0.0,1.2,4.0,48.5,16,2,2,0,0,380000.0,3.8,0.2758620689655172,0.0448275862068965,1,0,0,0,0,400000.0,4.0,0.0172413793103448,0.0,2
63,s1_01_contemporary-curated-asia-jay-chou-x-sothebys-evening-sale?locale=en_40,4,63,s1_01_contemporary-curated-asia-jay-chou-x-sothebys-evening-sale?locale=en_,40,Tim Noble and Sue Webster 蒂姆・諾布爾及蘇・韋伯斯特 | The Sweet Smell of Excess (Maquette) 過量的甘甜香氣（比例模型）,6,0.0805369127516778,1,1,0,0,0.0134228187919463,0.0134228187919463,0.0,0.0,0.7777777777777778,1.0666666666666669,17.0,2,0,0,0,0,400000.0,0.8888888888888888,0.0536912751677852,0.0029828486204325,3,1,1,0,0,480000.0,1.0666666666666669,0.0805369127516778,0.003579418344519,4
71,s1_02_the-now-evening-auction_modern-contemporary-evening-auction1,7,71,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,1,Rachel Jones A Slow Teething,23,0.1090047393364928,6,6,3,3,0.0284360189573459,0.0284360189573459,0.0142180094786729,0.0142180094786729,1.25,8.166666666666666,28.5,17,4,4,3,3,400000.0,6.666666666666667,0.1611374407582938,0.0513428120063191,5,2,2,0,0,490000.0,8.166666666666666,0.0473933649289099,0.0110584518167456,7
72,s1_02_the-now-evening-auction_modern-contemporary-evening-auction2,4,72,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,2,Jadé Fadojutimi Let me just button up this veiled hope,17,0.0776255707762557,3,3,2,2,0.0136986301369863,0.0136986301369863,0.0091324200913242,0.0091324200913242,0.8,2.2,26.5,12,2,2,2,2,280000.0,1.8666666666666667,0.1095890410958904,0.0097412480974124,4,1,1,0,0,330000.0,2.2,0.0365296803652968,0.0018264840182648,4
79,s1_02_the-now-evening-auction_modern-contemporary-evening-auction12,0,79,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,12,George Condo Mental States 7,1,0.1818181818181818,0,0,0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,5.5,0,0,0,0,0,400000.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,400000.0,0.6666666666666666,0.0,0.0,1
82,s1_02_the-now-evening-auction_modern-contemporary-evening-auction17,4,82,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,17,Salman Toor Floating Bookshelf II,10,0.106951871657754,2,2,2,2,0.0213903743315508,0.0213903743315508,0.0213903743315508,0.0213903743315508,0.9,1.9,29.5,4,1,1,1,1,130000.0,1.3,0.0855614973262032,0.0085561497326203,5,1,1,1,1,190000.0,1.9,0.106951871657754,0.0106951871657754,4
83,s1_02_the-now-evening-auction_modern-contemporary-evening-auction18,4,83,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,18,Robert Nava Frozen Bark,21,0.1538461538461538,7,6,6,5,0.0512820512820512,0.0439560439560439,0.0439560439560439,0.0366300366300366,1.0,5.428571428571429,32.0,16,7,6,6,5,340000.0,4.857142857142857,0.2344322344322344,0.0565149136577707,4,0,0,0,0,380000.0,5.428571428571429,0.0586080586080586,0.0062794348508634,4
84,s1_02_the-now-evening-auction_modern-contemporary-evening-auction19,0,84,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,19,Amoako Boafo As the Crow Flies,3,0.04,0,0,0,0,0.0,0.0,0.0,0.0,0.7619047619047619,0.8888888888888888,44.0,2,0,0,0,0,280000.0,0.8888888888888888,0.0533333333333333,0.0033862433862433,0,0,0,0,0,280000.0,0.8888888888888888,0.0,0.0,2
87,s1_02_the-now-evening-auction_modern-contemporary-evening-auction101,0,87,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,101,Max Beckmann Künstler am Meer (Artists by the Sea),4,0.0879120879120879,1,1,0,0,0.0219780219780219,0.0219780219780219,0.0,0.0,0.7,0.875,32.0,3,1,1,0,0,350000.0,0.875,0.1318681318681318,0.0076923076923076,0,0,0,0,0,350000.0,0.875,0.0,0.0,2
92,s1_02_the-now-evening-auction_modern-contemporary-evening-auction110,2,92,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,110,Edgar Degas Cheval marchant au pas relevé,2,0.0597014925373134,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.9333333333333332,27.5,1,0,0,0,0,280000.0,0.9333333333333332,0.0597014925373134,0.0019900497512437,0,0,0,0,0,280000.0,0.9333333333333332,0.0,0.0,2
104,s1_02_the-now-evening-auction_modern-contemporary-evening-auction127,0,104,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,127,Juan Gris Le pierrot à la guitare,1,0.0434782608695652,0,0,0,0,0.0,0.0,0.0,0.0,0.55,0.55,23.0,0,0,0,0,0,550000.0,0.55,0.0,0.0,0,0,0,0,0,550000.0,0.55,0.0,0.0,1
119,s1_02_the-now-evening-auction_modern-contemporary-evening-auction144,2,119,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,144,"Edgar Degas Danseuse mettant son bas, première étude",3,0.0967741935483871,0,0,0,0,0.0,0.0,0.0,0.0,0.611764705882353,0.7058823529411765,19.5,2,0,0,0,0,300000.0,0.7058823529411765,0.1290322580645161,0.0060721062618595,0,0,0,0,0,300000.0,0.7058823529411765,0.0,0.0,2
120,s1_02_the-now-evening-auction_modern-contemporary-evening-auction147,2,120,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,147,Kees van Dongen L'acrobate,2,0.0677966101694915,0,0,0,0,0.0,0.0,0.0,0.0,0.8571428571428571,0.9285714285714286,16.5,1,0,0,0,0,650000.0,0.9285714285714286,0.0677966101694915,0.0048426150121065,0,0,0,0,0,650000.0,0.9285714285714286,0.0,0.0,2
121,s1_02_the-now-evening-auction_modern-contemporary-evening-auction148,1,121,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,148,Franz Marc Eichkätzchen (Squirrel),10,0.08,3,3,0,0,0.024,0.024,0.0,0.0,0.7058823529411765,1.2941176470588236,24.0,6,2,2,0,0,450000.0,1.0588235294117647,0.096,0.0056470588235294,3,1,1,0,0,550000.0,1.2941176470588236,0.048,0.002635294117647,2
122,s1_02_the-now-evening-auction_modern-contemporary-evening-auction149,3,122,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,149,"Alfred Sisley Le barrage, canal du Loing à Saint-Mammès",6,0.109090909090909,1,1,0,0,0.0181818181818181,0.0181818181818181,0.0,0.0,0.7,0.96,22.0,4,1,1,0,0,450000.0,0.9,0.1454545454545454,0.0072727272727272,1,0,0,0,0,480000.0,0.96,0.0363636363636363,0.0,3
123,s1_02_the-now-evening-auction_modern-contemporary-evening-auction150,1,123,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,150,Camille Pissarro Matinée d'automne à Eragny,1,0.0689655172413793,0,0,0,0,0.0,0.0,0.0,0.0,0.8125,0.8125,14.5,0,0,0,0,0,650000.0,0.8125,0.0,0.0,0,0,0,0,0,650000.0,0.8125,0.0,0.0,1
124,s1_02_the-now-evening-auction_modern-contemporary-evening-auction151,0,124,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,151,Gino Severini Étude pour 'L'Autobus',3,0.0895522388059701,1,1,0,0,0.0298507462686567,0.0298507462686567,0.0,0.0,0.8333333333333334,0.9166666666666666,20.5,2,1,1,0,0,550000.0,0.9166666666666666,0.1194029850746268,0.0049751243781094,0,0,0,0,0,550000.0,0.9166666666666666,0.0,0.0,2
125,s1_02_the-now-evening-auction_modern-contemporary-evening-auction152,0,125,s1_02_the-now-evening-auction_modern-contemporary-evening-auction,152,Anselm Kiefer Wundtau regnet,1,0.037037037037037,0,0,0,0,0.0,0.0,0.0,0.0,0.7857142857142857,0.7857142857142857,27.0,0,0,0,0,0,550000.0,0.7857142857142857,0.0,0.0,0,0,0,0,0,550000.0,0.7857142857142857,0.0,0.0,1
